id;user_id;category;subcategory;name;description;pricing_model;base_price;is_active;is_featured;metadata;created_at;updated_at
30ee9729-3b78-4165-9ed9-4220f8b7fd5f;;Blockchain;Development;Private Blockchain Development;Custom private blockchain solutions for enterprises;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ef8adfb2-0112-4e6d-8e90-931c545d6b6c;;Blockchain;Development;Smart Contract Development;Solidity and other smart contract development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bb7ecb32-8d9e-415f-b52f-c81bd1c65095;;Blockchain;Development;Smart Contract Audits;Security audits for smart contracts;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
52c10364-7cbe-4cf1-ba21-652aa7203574;;Blockchain;Development;Enterprise Blockchain Solutions;Scalable blockchain for enterprise needs;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
a1bbae4a-7d13-4337-9dcd-56c3cfd936ee;;Blockchain;Development;IPFS Blockchain Development;Decentralized storage solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
dbd62400-26a3-46b5-8333-25e2bf00505d;;Blockchain;Development;Solana Blockchain Development;High-performance Solana development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
9452295a-dd43-4cf5-acfa-bfaa22932e35;;Blockchain;Development;Blockchain Wallet Development;Custom crypto wallet solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
863acf60-9017-4dbb-ad98-e47adaaa4da5;;Blockchain;Industry;Blockchain in Supply Chain;Supply chain transparency and tracking;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
151a17c1-d355-467e-915c-614ee55cbe11;;Blockchain;Industry;Blockchain in Real Estate;Property tokenization and management;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
60c151a0-2db0-487f-8457-499d04a64eab;;Blockchain;Industry;Blockchain in Healthcare;Healthcare data management on blockchain;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
b7b3ac8a-8c2c-4914-9813-9ab83e2825b6;;Blockchain;Industry;Blockchain in Manufacturing;Manufacturing process tracking;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
f8002b55-f2eb-4a1e-814b-3603c4e57c7b;;Blockchain;Industry;Blockchain in Insurance;Insurance claims automation;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ff539d14-1ac6-4d3e-ab26-bc4a27f7d5c2;;Blockchain;Services;Security Token Offering Services;STO development and launch;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
790ba204-26b0-4e62-aef7-46bda8bd3b69;;Blockchain;Services;Blockchain Consulting Services;Strategic blockchain consulting;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5d86180c-d6c4-4151-84fd-9d7460f0d69f;;AI;Development;AI Development Company;Custom AI solution development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
c429ece9-d778-426d-b8d0-59400b125934;;AI;Development;Machine Learning Development;ML model development and training;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bcfcf0da-aafe-4fca-9920-447c660ed328;;AI;Development;Generative AI Development;GenAI applications and integrations;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ae8209bf-66ee-4172-b1f3-f434a14e02d4;;AI;Development;AI Chatbot Development;Custom chatbot solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
6b38c58e-89c6-4512-a4f2-4941ec3b641d;;AI;Development;Predictive Analytics;Data-driven predictive models;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
16dfe2c4-1a10-40f6-a884-0e6f58ae1a3e;;AI;Enterprise;Enterprise AI Development;Large-scale enterprise AI;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
be792c59-6c90-48b0-aab8-97c098f805b8;;AI;Enterprise;AI for Enterprises;Enterprise AI transformation;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
2bd8168d-63d9-423f-bfda-222ad8a7c5d7;;AI;Industry;AI in Ecommerce;E-commerce AI solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bfafe49e-fa81-42ef-b8db-b10ca4be3bcf;;AI;Industry;AI in Supply Chain;Supply chain optimization AI;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
93e2c4ca-4215-4446-828e-ce997014fe07;;AI;Industry;AI in Real Estate;Real estate AI applications;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
09ef456c-d2ab-4d37-b65a-c055878ccc62;;AI;Industry;AI for Cyber Security;AI-powered security solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
0dfcac56-ecae-44a6-b13e-88c15f79b616;;Metaverse;Development;Metaverse Development Services;Full metaverse development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
d773623e-ec82-4ea4-8ceb-a470bff1137a;;Metaverse;Development;Metaverse Game Development;Games in metaverse environments;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
2210556d-3ab4-49cf-9f69-20b5db1fe126;;Metaverse;Development;Metaverse NFT Marketplace;NFT marketplaces for metaverse;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
79eeb00e-16ad-476e-af2e-2c811891551a;;Metaverse;Development;Metaverse Wallet Development;Wallets for metaverse assets;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
4c8e4b26-10b4-41f8-87ef-a6d2e5e41ed0;;Metaverse;Enterprise;Enterprise Metaverse Services;Business solutions in metaverse;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
36e7844b-7432-4e13-a5b2-22240b40f03f;;Metaverse;Enterprise;Metaverse Virtual Office;Virtual workspace development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
aeb2c53b-0886-4209-83f5-1846a3995a02;;Metaverse;Commerce;Metaverse Store Development;Virtual storefronts;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
0c945596-a5f7-4cb4-a853-cf0ce628f762;;Metaverse;Commerce;Metaverse Real Estate;Virtual real estate development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
0c039ecf-45bb-449c-a9a8-f9b409a21e39;;NFT;Marketplace;NFT Marketplace Development;Custom NFT marketplace platforms;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
6ded25a5-4d30-46de-8ef7-c5524324072b;;NFT;Marketplace;White Label NFT Marketplace;Ready-to-launch NFT platforms;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
e8e370fd-a96c-466a-ba87-862ea0599a6a;;NFT;Development;NFT Token Development;Custom NFT creation and minting;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
940e56ad-738f-45a3-b9a7-38183b171ff9;;NFT;Development;NFT Minting Platform;NFT minting infrastructure;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5c747499-dbcc-4c2b-adf0-2d1de43542b5;;NFT;Development;NFT Game Development;Gaming with NFT integration;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
8d749b52-1046-4e60-8817-1c969f73527c;;NFT;Industry;Real Estate NFT Marketplace;Property NFT solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5c63dcc5-7b13-4588-ae76-1b607a038b37;;Exchange;Development;Cryptocurrency Exchange Development;Full exchange platform development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
30969811-7006-4ce2-9504-7b3c45f40ddb;;Exchange;Development;Decentralized Exchange Development;DEX development services;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
0599a81c-459f-4b46-8ba7-13f378d02738;;Exchange;Development;P2P Cryptocurrency Exchange;Peer-to-peer exchange platforms;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
e5b5cc99-577f-446e-94ad-70406169c6f8;;Exchange;Development;Cryptocurrency Trading Bot;Automated trading solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
d159f2a6-a2af-4bac-97f3-4ce1bace6c96;;Exchange;Token;Crypto Token Development;Custom token creation;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
7e2f8a23-8b51-4c4b-983f-b667897ee522;;Exchange;Token;Stablecoin Development;Stable cryptocurrency development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
9b0dec13-d399-4e88-83e7-325229a953dd;;Web3;Development;Web3 Development;Full Web3 application development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
58cccdfa-5d66-4b03-9be6-ac96223bb706;;Web3;Development;Web3 Game Development;Gaming on Web3;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
62675604-e5b4-4b6d-93df-e4f3d6b0153c;;Web3;Development;Web3 Smart Contract Auditing;Web3 security audits;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
6b3f6192-f435-4556-9fae-1497557d2329;;Web3;Development;Web3 Wallet Development;Web3 wallet solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
b34c8eba-10da-48e3-8374-d3d8e5a5b122;;Web3;Industry;Web3 in Healthcare;Healthcare Web3 applications;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
b158a741-5ad8-4995-8881-5ae13834bd0c;;Web3;Enterprise;Web3 for Enterprises;Enterprise Web3 solutions;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
d06e88b9-2a78-4374-bc0b-289f5be0c415;;Games;Blockchain;Blockchain Game Development;Blockchain-integrated games;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
7f164505-172e-491f-803b-eee2a7e44152;;Games;Development;Unity 3D Game Development;Unity game development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
8733d4a0-7b5f-4aa9-8ad1-78efab1c269b;;Games;Development;Unreal Engine Game Development;Unreal Engine games;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
83c784df-36a4-4db8-bcb8-8bb4a0e08393;;Games;Play to Earn;Play To Earn Game Development;P2E game development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
20b4f40a-06af-4972-a7d6-930c870ea820;;Games;VR/AR;Virtual Reality Game Development;VR game development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
8362918b-5f9b-4a72-8cfc-0d1a329fc5f0;;DApp;Development;DApp Development Company;Decentralized app development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
f7bf6e49-344d-48d8-af63-4717eb408b01;;DApp;Development;Ethereum DApp Development;Ethereum-based DApps;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
da05b059-303e-4614-9062-7511deee753d;;DApp;Industry;DApp in ERP;ERP DApp solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
fa412b9b-8a23-4ea4-b7b2-cf5e59a2c037;;DApp;Industry;DApp in Ecommerce;E-commerce DApps;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
eb776481-a77b-48fb-bfa7-77cddbf832e8;;DApp;Development;DAO Blockchain Development;DAO creation and management;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
9e90427d-1516-4120-85ee-4aa2961fc2f2;;Mobile;Development;Android App Development;Android application development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
7df589d3-ff39-4fde-9388-237e0724dbf1;;Mobile;Development;iOS App Development;iOS application development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
d9b19352-28bb-48dc-abee-21561824ce6d;;Mobile;Development;Mobile App Development;Cross-platform mobile apps;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
fcbcba75-d00c-4d69-975e-60b0f46fe0fc;;Cloud;Services;Cloud Consulting;Cloud strategy and consulting;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
a498365d-2186-4608-ba42-9b1ed130baf3;;Cloud;Services;Cloud Migration Services;Cloud migration support;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
92aebe21-9363-41e1-b044-88fe20c921f4;;Cloud;Services;Cloud Based Software;Custom cloud software;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
6172b90f-5a8a-4ce6-8ae6-26bae6b4c5e4;;Cybersecurity;Development;Cybersecurity Development;Security solution development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
8d7b66d9-1ab2-4d86-a77f-49a809dd4c0d;;Cybersecurity;Services;Cybersecurity Consulting;Security audits and consulting;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5877dc52-cb77-4c71-b42c-862c3e846534;;VR/AR;Development;VR Development;Virtual reality development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5ad14a00-f15d-429b-a7df-6901f33e79f3;;VR/AR;Development;AR Development;Augmented reality development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00