id;market_id;source;kind;weight;impact;summary;url;created_at
5716b19f-0a95-42d5-a5d3-a10f7d550e57;5e6179b1-26a2-42c7-b7b2-d87620f29254;ESPN;INJURY;0.65;0.450;Star QB cleared to play after injury concern - major boost for 49ers offense;https://espn.com/nfl/story;2025-10-26 22:51:22.538432+00
061d1699-47a9-4b28-ba65-dcb7a35c4fd7;5e6179b1-26a2-42c7-b7b2-d87620f29254;Open-Meteo;WEATHER;0.35;	-0.150;Light rain expected, 12mph winds - minor impact on passing game;https://open-meteo.com;2025-10-26 22:51:22.538432+00
51b9c6e3-300f-497e-b898-d03071828767;5e6179b1-26a2-42c7-b7b2-d87620f29254;NFL Stats;TREND;0.50;0.250;49ers 7-2 ATS in last 9 road games, Texans 3-6 at home;;2025-10-26 22:51:22.538432+00
5f3a451b-00ec-4d27-b098-0cf8b8192cc9;975e6c93-532d-40c7-a54a-0b941f253313;Open-Meteo;WEATHER;0.45;0.200;Clear skies, 8mph winds - ideal conditions for high-scoring game;https://open-meteo.com;2025-10-26 22:51:22.538432+00
b8c61688-8eca-4aea-95b3-5df365017626;975e6c93-532d-40c7-a54a-0b941f253313;NFL Stats;TREND;0.40;0.150;Both teams averaging 27+ PPG over last 4 games;;2025-10-26 22:51:22.538432+00
dc43fb09-249c-4fb8-9d5c-1d1e9641bd2a;f6f9efc4-ee7f-4b5c-b74d-910bdb5cc9bf;ESPN;INJURY;0.70;	-0.300;Lakers star forward questionable with ankle injury - game-time decision;https://espn.com/nba/story;2025-10-26 22:51:22.538432+00
8f57f6a5-e77b-4b71-9b21-729b121f6115;f6f9efc4-ee7f-4b5c-b74d-910bdb5cc9bf;NBA Stats;TREND;0.35;	-0.100;Lakers 2-5 in last 7 home games vs Western Conference;;2025-10-26 22:51:22.538432+00
66e8bd21-02e1-46cf-9d62-30aa47fabd16;548d4ca3-c4b2-4d31-bf84-bfc7b954ff00;Open-Meteo;WEATHER;0.30;0.100;Dome game - no weather impact on passing yards;https://open-meteo.com;2025-10-26 22:51:22.538432+00
e8155596-9d16-479a-a14d-8dbbe263f446;548d4ca3-c4b2-4d31-bf84-bfc7b954ff00;NFL Stats;TREND;0.55;0.050;Mahomes averaging 285 yards over last 5 games, opponent allows 270 YPG;;2025-10-26 22:51:22.538432+00
5bc64f2b-7583-46ab-bf11-355c62661dd9;caf89047-f07c-4940-bd11-0c9bc9f8c4d7;Bloomberg;EARNINGS;0.75;0.500;iPhone 15 sales exceed analyst estimates in key markets;https://bloomberg.com/tech;2025-10-26 22:51:22.538432+00
337adb5d-5cf0-4c0e-8425-d82d0a71fd08;caf89047-f07c-4940-bd11-0c9bc9f8c4d7;Reuters;SENTIMENT;0.45;0.300;Analyst upgrades ahead of earnings - consensus raised to $1.52 EPS;https://reuters.com;2025-10-26 22:51:22.538432+00
dd864f77-a5e7-49f5-93e8-283205a29a12;caf89047-f07c-4940-bd11-0c9bc9f8c4d7;X (Twitter);TREND;0.25;0.150;Social sentiment 68% positive on AAPL earnings expectations;https://twitter.com;2025-10-26 22:51:22.538432+00
73739d15-0adf-4a97-96d1-223aeeac82ca;5b8e0880-eaaf-4195-8da5-b34c8a8a6115;Reuters;TREND;0.60;0.350;Shanghai factory production up 18% month-over-month;https://reuters.com/autos;2025-10-26 22:51:22.538432+00
994a1dad-4a85-46f0-bc31-b26bf1ad53b4;5b8e0880-eaaf-4195-8da5-b34c8a8a6115;Bloomberg;SENTIMENT;0.40;0.200;Cybertruck backlog clearing faster than expected - delivery acceleration;https://bloomberg.com;2025-10-26 22:51:22.538432+00
b6960686-915c-4673-9d24-46cb6af4f4ba;c1f2b264-60f2-491c-900d-b5fa010a435c;CoinDesk;TREND;0.70;0.600;Bitcoin ETF inflows hit $2.1B this week - institutional buying surge;https://coindesk.com;2025-10-26 22:51:22.538432+00
7cb91b58-f10d-4a9c-976f-50c714fb33a2;c1f2b264-60f2-491c-900d-b5fa010a435c;X (Twitter);SENTIMENT;0.50;0.450;Crypto Fear & Greed Index at 72 (Greed) - bullish momentum building;https://twitter.com;2025-10-26 22:51:22.538432+00
02bb035d-aa07-4793-8049-1ef777ec6b90;c1f2b264-60f2-491c-900d-b5fa010a435c;Bloomberg;TREND;0.35;0.300;Halving event in 45 days - historical pattern shows pre-rally;https://bloomberg.com;2025-10-26 22:51:22.538432+00
74adc76b-1061-4058-948e-866578595c78;8562eb3c-aa53-4270-8839-cf809ae0bb7c;Ethereum Foundation;TREND;0.80;0.700;All 8 client implementations passed testnet trials - high confidence;https://ethereum.org;2025-10-26 22:51:22.538432+00
8587b7dc-daed-44d4-9f17-0b7e30221b1d;8562eb3c-aa53-4270-8839-cf809ae0bb7c;CoinDesk;SENTIMENT;0.55;0.500;Developer consensus strong - no major concerns raised in audits;https://coindesk.com;2025-10-26 22:51:22.538432+00
786bcd19-d77d-4200-8611-bf4ffe954787;5afe2702-da3d-469c-8f11-aa1c2f839139;Bloomberg;TREND;0.75;	-0.400;Core inflation dropped to 3.2% - below Fed target threshold;https://bloomberg.com/economics;2025-10-26 22:51:22.538432+00
b6ef8285-5dcb-430e-9cb8-bfe4642d6d4a;5afe2702-da3d-469c-8f11-aa1c2f839139;Reuters;SENTIMENT;0.60;	-0.350;Fed Chair signals pause in hiking cycle - dovish tone in speech;https://reuters.com;2025-10-26 22:51:22.538432+00
fe13d0a4-42c5-42c3-a506-1306f1b7ad59;5afe2702-da3d-469c-8f11-aa1c2f839139;CME FedWatch;TREND;0.70;	-0.300;Fed Futures pricing in 72% chance of no hike;https://cmegroup.com;2025-10-26 22:51:22.538432+00
7803b8dd-25c1-4637-bad5-85267bbbcd4e;33e9e81d-0756-4c02-8905-8f467fa006a3;Texas Tribune;TREND;0.55;0.200;Incumbent maintains 8-point lead in latest poll (margin of error Â±3%);https://texastribune.org;2025-10-26 22:51:22.538432+00
f431258e-5adc-4059-8e70-1a3974e470ad;33e9e81d-0756-4c02-8905-8f467fa006a3;X (Twitter);SENTIMENT;0.35;0.100;Social media sentiment tracking 55% favorable for incumbent;https://twitter.com;2025-10-26 22:51:22.538432+00
ea50b3f7-70da-4abd-ae7a-e11bb2c6ed2b;c36c217b-bd5f-4219-b11e-768230632f83;Reuters;TREND;0.65;	-0.300;OPEC+ production cuts easing - supply increasing by 400K bpd;https://reuters.com/energy;2025-10-26 22:51:22.538432+00
f0c54337-9769-4c56-a91a-0d329bd1725e;c36c217b-bd5f-4219-b11e-768230632f83;Bloomberg;SENTIMENT;0.50;	-0.250;China demand forecast revised down - economic slowdown concerns;https://bloomberg.com;2025-10-26 22:51:22.538432+00
c68fd9d6-504a-42ad-ad6d-2c1b3c77c848;c36c217b-bd5f-4219-b11e-768230632f83;EIA;TREND;0.45;	-0.150;US crude inventories up 5.2M barrels - higher than expected;https://eia.gov;2025-10-26 22:51:22.538432+00
5a21a751-1115-4072-8dba-a450fee4a598;5b6a6c46-c011-45d3-b23c-62b1d80c896d;ESPN;TREND;0.75;0.150;Warriors average 31.2 points in 1st quarters at home this season;https://espn.com;2025-10-26 23:17:16.408707+00
9aa74a27-44bd-40bf-bcaa-861a84e1055f;5b6a6c46-c011-45d3-b23c-62b1d80c896d;NBA.com;INJURY;0.60;0.100;Lakers missing starting PG - affects early game pace;https://nba.com;2025-10-26 23:17:16.408707+00
1f85913d-0ead-4d61-8ad4-d2083b22f5bf;7f25c669-6fe0-4099-a1f9-a0f76947abc3;StatMuse;TREND;0.80;0.220;Warriors led at halftime in 8 of last 10 home games;https://statmuse.com;2025-10-26 23:17:16.408707+00
717f3297-8b71-4f08-bdf0-515c237e0e72;843668f3-09f4-441d-867a-adf902d90c17;NBA.com;TREND;0.70;	-0.180;Lakers average +4.3 point differential in 3rd quarters;https://nba.com;2025-10-26 23:17:16.408707+00
54cb968d-ff8c-4b4b-b0d4-94ddd382b061;843668f3-09f4-441d-867a-adf902d90c17;ESPN;SENTIMENT;0.65;	-0.120;LeBron historically strong in 3rd quarter play;https://espn.com;2025-10-26 23:17:16.408707+00
5f398fab-e132-4dd7-837a-0f2c73b174fd;01d677a2-d581-4e13-a8a1-56fbc006b8ad;Basketball Reference;TREND;0.55;0.050;Only 6.2% of NBA games go to OT historically;https://basketball-reference.com;2025-10-26 23:17:16.408707+00
2d8aca12-81e7-4907-98a6-dfbaae3ffa71;01d677a2-d581-4e13-a8a1-56fbc006b8ad;ESPN;TREND;0.60;0.080;Last 3 Warriors-Lakers matchups decided by 8+ points;https://espn.com;2025-10-26 23:17:16.408707+00
d76f60a5-962e-4a04-9fb3-9221722fb19b;ae3e2951-e42a-44f5-abe0-c2723ea05700;ESPN;TREND;0.75;0.120;Warriors averaging 114.5 PPG, Lakers 111.2 PPG this season;https://espn.com;2025-10-26 23:17:16.408707+00
0dc11be3-d792-4338-b439-b88171e4af98;ae3e2951-e42a-44f5-abe0-c2723ea05700;NBA.com;WEATHER;0.40;0.000;Indoor arena - no weather impact on scoring pace;https://nba.com;2025-10-26 23:17:16.408707+00
5000bde8-a0e9-42a9-b4fa-f407f5436d3c;ae3e2951-e42a-44f5-abe0-c2723ea05700;StatMuse;TREND;0.70;0.150;7 of last 10 meetings went OVER 220 points;https://statmuse.com;2025-10-26 23:17:16.408707+00
ecb67c89-1742-4072-aa58-d4e86e6e1bfc;7f140036-9a9c-4b27-8399-f5c522bc19f3;NBA.com;TREND;0.65;	-0.080;Lakers big men average 4.8 fouls per game;https://nba.com;2025-10-26 23:17:16.408707+00
d376cb35-10de-46f0-b3d5-77c6a533ed79;7f140036-9a9c-4b27-8399-f5c522bc19f3;ESPN;INJURY;0.55;0.120;Warriors Draymond Green playing despite ankle issue - may be aggressive;https://espn.com;2025-10-26 23:17:16.408707+00
4e172d31-f79f-4acf-b855-bbfe9ce67275;5b6a6c46-c011-45d3-b23c-62b1d80c896d;ESPN;TREND;0.75;0.150;Warriors average 31.2 points in 1st quarters at home this season;https://espn.com;2025-10-26 23:18:10.819099+00
cbd1d7cb-e6e8-4e72-8158-e6f92313f48b;5b6a6c46-c011-45d3-b23c-62b1d80c896d;NBA.com;INJURY;0.60;0.100;Lakers missing starting PG - affects early game pace;https://nba.com;2025-10-26 23:18:10.819099+00
9183e61b-bca5-4114-b670-afa4322deec0;7f25c669-6fe0-4099-a1f9-a0f76947abc3;StatMuse;TREND;0.80;0.220;Warriors led at halftime in 8 of last 10 home games;https://statmuse.com;2025-10-26 23:18:10.819099+00
2083e182-ae66-4660-874c-bb9f5088c995;7f25c669-6fe0-4099-a1f9-a0f76947abc3;Twitter;SENTIMENT;0.55;0.120;Strong betting momentum favoring Warriors at half;https://twitter.com;2025-10-26 23:18:10.819099+00
e5af0f30-3208-4f9e-9a45-8f03860acf89;71f5930b-bf50-40e2-85a6-0bec9096d456;ESPN;TREND;0.65;0.180;Warriors strong in 3rd quarter after adjustments;https://espn.com;2025-10-26 23:18:10.819099+00
6f0d81e9-57f9-436f-9762-d6bf50e473d0;843668f3-09f4-441d-867a-adf902d90c17;NBA.com;TREND;0.70;	-0.180;Lakers average +4.3 point differential in 3rd quarters;https://nba.com;2025-10-26 23:18:10.819099+00
dabc248c-91ff-437f-926b-fb0f2c92db5f;843668f3-09f4-441d-867a-adf902d90c17;ESPN;TREND;0.65;	-0.120;LeBron historically strong in 3rd quarter play;https://espn.com;2025-10-26 23:18:10.819099+00
576c0697-6aaa-4476-b482-26c75b50182b;01d677a2-d581-4e13-a8a1-56fbc006b8ad;Basketball Reference;TREND;0.55;0.050;Only 6.2% of NBA games go to OT historically;https://basketball-reference.com;2025-10-26 23:18:10.819099+00
d6933015-4b65-4d8a-9499-2a398caaf5fa;01d677a2-d581-4e13-a8a1-56fbc006b8ad;ESPN;TREND;0.60;0.080;Last 3 Warriors-Lakers matchups decided by 8+ points;https://espn.com;2025-10-26 23:18:10.819099+00
19e1c0eb-6e2c-4589-87aa-8f0ecf624522;ae3e2951-e42a-44f5-abe0-c2723ea05700;ESPN;TREND;0.75;0.120;Warriors averaging 114.5 PPG, Lakers 111.2 PPG this season;https://espn.com;2025-10-26 23:18:10.819099+00
6274423e-ec5d-4ff2-b2d1-a31de9c18489;ae3e2951-e42a-44f5-abe0-c2723ea05700;NBA.com;WEATHER;0.40;0.000;Indoor arena - no weather impact on scoring pace;https://nba.com;2025-10-26 23:18:10.819099+00
a62e6d96-6a80-48e8-933b-203cdc2f3f4e;ae3e2951-e42a-44f5-abe0-c2723ea05700;StatMuse;TREND;0.70;0.150;7 of last 10 meetings went OVER 220 points;https://statmuse.com;2025-10-26 23:18:10.819099+00
7b884819-9364-48ec-b370-2aa06db2a024;ae3e2951-e42a-44f5-abe0-c2723ea05700;Vegas Insider;SENTIMENT;0.60;0.100;Sharp money heavily on the Over;https://vegasinsider.com;2025-10-26 23:18:10.819099+00
aaf29aad-8f8d-4bc9-8839-8a225d36e9bd;7f140036-9a9c-4b27-8399-f5c522bc19f3;NBA.com;TREND;0.65;	-0.080;Lakers big men average 4.8 fouls per game;https://nba.com;2025-10-26 23:18:10.819099+00
915ce12c-2030-4fa6-885d-8515146d31d3;7f140036-9a9c-4b27-8399-f5c522bc19f3;ESPN;INJURY;0.55;0.120;Warriors Draymond Green playing despite ankle issue - may be aggressive;https://espn.com;2025-10-26 23:18:10.819099+00
da784f03-0bc8-4e43-80ff-81c6464b0f77;5b6a6c46-c011-45d3-b23c-62b1d80c896d;StatMuse;TREND;0.72;0.150;Warriors average 29.3 points in Q1, Lakers average 27.1;https://statmuse.com;2025-10-26 23:18:20.573214+00
c98cb48f-7818-4675-a80c-89e0d66f632b;5b6a6c46-c011-45d3-b23c-62b1d80c896d;NBA Analytics;TREND;0.68;0.120;Warriors led after Q1 in 7 of last 10 games;;2025-10-26 23:18:20.573214+00
03288c82-9cc4-498c-9040-b58cbc2349cc;7f25c669-6fe0-4099-a1f9-a0f76947abc3;ESPN Stats;TREND;0.75;0.220;Warriors lead at halftime 58% of their games;https://espn.com;2025-10-26 23:18:20.573214+00
e7d5ba57-5447-4297-b09c-cf3b098980cb;843668f3-09f4-441d-867a-adf902d90c17;NBA Metrics;TREND;0.71;	-0.180;Lakers have strong 3rd quarter performance, avg +4.2 point differential;;2025-10-26 23:18:20.573214+00
469787bb-4c30-42b5-b8af-5cd80b3bb182;01d677a2-d581-4e13-a8a1-56fbc006b8ad;Basketball Reference;TREND;0.82;0.050;Only 6% of Warriors-Lakers games go to OT historically;https://basketball-reference.com;2025-10-26 23:18:20.573214+00
ac342eb7-1e2c-4e60-a1b3-06bb891068fd;ae3e2951-e42a-44f5-abe0-c2723ea05700;Sharp Money;TREND;0.78;0.120;Recent Warriors-Lakers games averaged 228.4 points;;2025-10-26 23:18:20.573214+00
723783bb-12f5-4082-9f5b-dd706ecfcef7;ae3e2951-e42a-44f5-abe0-c2723ea05700;NBA Advanced Stats;SENTIMENT;0.69;0.080;Expected pace suggests 227 total points;;2025-10-26 23:18:20.573214+00
e2c6213e-0b8f-4e99-9a1e-a44ae1d2e3ff;7f140036-9a9c-4b27-8399-f5c522bc19f3;NBA Stats;TREND;0.64;0.080;Warriors average 0.31 players fouling out per game;https://nba.com/stats;2025-10-26 23:18:20.573214+00
e04f0ed8-f190-4f25-a8a9-9405344d3c0e;5b6a6c46-c011-45d3-b23c-62b1d80c896d;Team News;INJURY;0.61;0.090;Lakers missing key defender may hurt early game defense;;2025-10-26 23:18:20.573214+00
fc8a09c5-ef43-41f8-9052-683e19b4403c;ae3e2951-e42a-44f5-abe0-c2723ea05700;Indoor Game;WEATHER;0.50;0.000;Climate controlled arena, no weather impact;;2025-10-26 23:18:20.573214+00